date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC,%D,%K,MACD_SIGNAL,MACD_HIST,MACD,TRANGE,CCI,AD,ATR,ADOSC,BBANDS_LOW,BBANDS_MIDDLE,BBANDS_UP,DIFF,I_29,I_30,I_34
2020-03-20,41.95,42.07,37.51,38.3,51493270.0,43.484,47.078,51.8085,-8.86,-20.62,42.1849,16.9025,22.2294,-96.4558,-36.3047,19.6332,7.6181,-1.4827,-4.0536,-2.5709,4.56,-168.8882,2047723803.6959,2.4623,4626788.2044,-1.4827,-4.0536,-2.5709,-3.5142999999999986,-0.08700834326579274,0.17324561403508745,-0.2607390679135664
2020-03-19,44.36,44.66,41.04,41.83,41945862.0,45.518,48.774,52.9,-10.38,-14.23,46.1322,21.9086,25.9711,-95.8617,-29.9565,34.5444,9.2723,-1.2616,-3.4618,-2.2002,3.81,-154.9435,2081375107.3363,2.3519,19237119.3822,-1.2616,-3.4618,-2.2002,-2.9570000000000007,-0.05703336339044186,0.21823204419889494,-0.20926275992438564
2020-03-18,44.74,45.15,41.59,44.85,35020842.0,46.584,50.265,53.7945,-8.81,-11.07,51.6111,27.773,29.9207,-80.5907,-24.9624,42.2524,42.0091,-1.1307,-3.0155,-1.8848,5.59,-157.4927,2105013106.9164,2.2751,24503110.6784,-1.1307,-3.0155,-1.8848,-2.5899999999999963,0.0024586499776486238,0.9157303370786524,-0.16627164487075813
2020-03-17,45.88,47.5,45.37,47.18,32100035.0,48.056,51.672,54.5405,-4.68,-6.31,46.1885,33.5462,33.5267,-68.3017,-20.7458,36.8956,52.3519,-1.1074,-2.7095,-1.6021,2.24,-136.4252,2075894654.0175,2.1006,13545287.3561,-1.1074,-2.7095,-1.6021,-2.4532999999999987,0.028334786399302463,0.8497652582159625,-0.13495475839055385
2020-03-16,42.24,47.88,41.17,45.26,28674815.0,49.352,52.56,55.158,-10.0,-9.67,43.3798,22.4807,26.8693,-78.4283,-24.5038,21.1442,32.396,-1.1915,-2.5168,-1.3253,7.3,-197.722,2053439699.9565,2.0933,6397118.7437,-1.1915,-2.5168,-1.3253,-2.5572000000000017,0.07149621212121203,0.6095380029806253,-0.17944813082417788
2020-03-13,49.51,49.56,46.605,48.47,33684332.0,50.672,53.626,55.8925,-8.27,-9.13,38.1224,29.2715,31.7411,-86.2107,-18.6881,15.419,25.9388,-1.0113,-2.0388,-1.0274,2.955,-167.461,2047157736.0146,1.8193,4967200.0178,-1.0113,-2.0388,-1.0274,-2.124299999999998,-0.021005857402544924,0.6311336717428083,-0.13279957060428502
2020-03-12,48.54,49.93,46.69,47.16,31893748.0,52.03,54.128,56.4495,-11.76,-10.66,39.4959,21.1738,26.7743,-96.503,-20.6194,17.373,5.0976,-0.9512,-1.7258,-0.7746,5.52,-206.9889,2038323435.7439,1.7595,5253992.861,-0.9512,-1.7258,-0.7746,-1.953800000000001,-0.02843016069221266,0.1450617283950613,-0.16456301650147484
2020-03-11,52.35,52.65,51.14,52.21,22610926.0,53.946,54.905,57.062,-3.85,-6.44,46.0657,33.492,36.0416,-88.0979,-12.3846,17.3792,15.2205,-0.631,-1.1678,-0.5368,2.52,-142.3933,2060964059.3241,1.5616,11658610.4968,-0.631,-1.1678,-0.5368,-1.243699999999997,-0.002674307545367728,0.70860927152318,-0.0850303178998282
2020-03-10,53.22,53.795,51.17,53.66,27451551.0,55.288,55.444,57.431,-2.26,-6.47,50.8509,38.9081,39.6542,-72.2098,-10.1925,22.117,31.8008,-0.5737,-0.9527,-0.379,2.625,-140.2938,2051530361.7215,1.5111,7114166.2672,-0.5737,-0.9527,-0.379,-1.0803000000000011,0.008267568583239342,0.9485714285714266,-0.0656614023785064
2020-03-09,52.05,53.58,51.475,51.86,27867037.0,55.768,55.86,57.7355,-1.63,-7.86,46.3974,26.6349,31.8852,-95.5517,-12.3838,34.6973,5.1163,-0.5765,-0.8121,-0.2356,3.785,-187.2388,2026902398.8243,1.4525,1761919.3375,-0.5765,-0.8121,-0.2356,-1.047699999999999,-0.00365033621517767,0.18289786223277843,-0.10176581132925154
2020-03-06,54.94,55.91,53.98,55.26,22351990.0,56.58,56.539,58.102,0.33,-4.51,48.1025,38.9528,41.0317,-56.9591,-6.3231,65.9659,29.434,-0.346,-0.4375,-0.0915,2.76,-124.9198,2044575792.8362,1.3298,7442193.6876,-0.346,-0.4375,-0.0915,-0.5248000000000062,0.005824535857298877,0.6632124352331613,-0.04891397886475507
