date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC,%D,%K,MACD_SIGNAL,MACD_HIST,MACD,TRANGE
2020-03-19,4.33,4.58,4.1,4.47,126403658.0,4.924,5.452,6.317,-1.43,-2.5,40.4115,15.747,18.3011,-90.5852,-44.3337,21.5879,20.5556,-0.1595,-0.7376,-0.8971,0.48
2020-03-18,4.75,4.84,4.1,4.5,125246528.0,5.1,5.679,6.495,-1.76,-2.7,41.2458,16.0204,18.4773,-89.9244,-43.75,14.9944,22.2222,-0.1604,-0.6977,-0.8581,0.91
2020-03-17,5.08,5.14,4.7,5.01,104097613.0,5.38,5.937,6.67,-0.89,-1.95,37.0139,21.2462,21.7371,-90.8824,-37.8412,22.1169,21.9858,-0.1413,-0.6576,-0.7989,0.44
2020-03-16,5.04,5.22,5.0,5.01,110183965.0,5.63,6.133,6.8225,-1.48,-1.96,32.6425,21.2462,21.7371,-99.6825,-38.1481,18.1667,0.7752,-0.1413,-0.6223,-0.7636,0.63
2020-03-13,5.87,5.9,5.12,5.63,125290368.0,5.808,6.352,6.977,-1.11,-1.58,35.0044,29.3206,26.5158,-83.8095,-31.7576,20.7573,43.5897,-0.1205,-0.587,-0.7075,0.78
2020-03-12,5.38,5.69,5.2,5.35,89299008.0,5.98,6.485,7.108,-1.73,-1.88,30.4472,17.5245,19.1585,-95.2532,-35.0728,18.1137,10.1351,-0.1318,-0.5568,-0.6886,0.7
2020-03-11,6.06,6.11,5.88,5.9,97775848.0,6.258,6.647,7.2525,-1.07,-1.67,30.8913,24.1116,23.3719,-96.0937,-27.1605,15.4156,8.547,-0.1022,-0.5239,-0.6261,0.38
2020-03-10,6.26,6.29,5.8,6.26,101774354.0,6.494,6.778,7.3625,-0.94,-1.63,38.216,30.33,26.9248,-82.0313,-22.3325,15.7581,35.6589,-0.0948,-0.4984,-0.5931,0.49
2020-03-09,5.97,6.14,5.87,5.9,103747117.0,6.636,6.875,7.4525,-1.06,-2.13,33.439,11.2576,15.0933,-98.7952,-27.2503,7.3543,2.0408,-0.1045,-0.4747,-0.5791,0.62
2020-03-06,6.6,6.68,6.4,6.49,109864377.0,6.896,7.042,7.563,-0.48,-1.51,37.832,17.9798,19.9446,-95.4082,-21.3333,27.0721,9.5745,-0.0676,-0.4485,-0.5162,0.34
2020-03-05,6.96,6.97,6.71,6.74,78016662.0,6.99,7.182,7.651,-0.47,-1.32,36.4634,22.7838,22.7897,-95.9064,-18.8929,36.5388,10.4478,-0.0567,-0.4316,-0.4883,0.37
2020-03-04,7.09,7.09,6.92,7.08,70559822.0,7.036,7.311,7.7295,-0.15,-1.02,35.8233,32.6797,27.7194,-77.3481,-22.8758,50.548,61.194,-0.0537,-0.4175,-0.4712,0.17
2020-03-03,7.29,7.34,6.89,6.97,97397798.0,7.062,7.403,7.8345,-0.6,-1.28,30.8829,23.7509,22.7647,-88.3268,-22.3831,39.359,37.9747,-0.073,-0.404,-0.4771,0.45
2020-03-02,7.11,7.23,6.88,7.2,96728883.0,7.114,7.512,7.935,-0.69,-1.04,31.9897,30.8895,26.208,-79.3774,-18.3673,28.2022,52.4752,-0.0807,-0.3858,-0.4664,0.35
2020-02-28,6.84,6.96,6.67,6.96,116484975.0,7.188,7.602,8.016,-1.07,-1.14,23.6497,6.4356,13.7258,-88.716,-21.267,10.7105,27.6269,-0.1039,-0.3656,-0.4695,0.3
2020-02-27,7.13,7.28,6.92,6.97,118585243.0,7.374,7.731,8.11,-1.03,-1.09,13.1682,6.5156,13.815,-97.8448,-21.3318,1.8803,4.5045,-0.1025,-0.3396,-0.4421,0.36
2020-02-26,7.3,7.46,7.21,7.21,92461064.0,7.586,7.858,8.2045,-0.85,-0.9,13.384,8.6733,16.1214,-100.0,-19.621,1.4901,0.0,-0.0878,-0.314,-0.4018,0.25
2020-02-25,7.68,7.68,7.22,7.23,108818217.0,7.744,7.947,8.2925,-0.87,-1.02,13.9128,8.8775,16.3296,-99.505,-18.6727,1.4901,1.1364,-0.0768,-0.2921,-0.3689,0.46
2020-02-24,7.7,7.7197,7.55,7.57,109885240.0,7.91,8.03,8.3755,-0.68,-0.74,19.3614,13.3189,20.4451,-98.8166,-15.8889,4.7149,3.3339,-0.0507,-0.2729,-0.3236,0.34
2020-02-21,8.02,8.03,7.89,7.89,58296111.0,8.016,8.084,8.447,-0.35,-1.29,28.7982,21.9202,26.1258,-100.0,-13.6761,3.6036,0.0,-0.0355,-0.2602,-0.2956,0.14
2020-02-20,8.0,8.07,7.99,8.03,52299986.0,8.088,8.12,8.5095,-0.07,-0.95,32.8522,28.6706,29.402,-96.8,-12.3362,7.5252,10.8108,-0.037,-0.2513,-0.2883,0.08
2020-02-19,8.06,8.1,8.0,8.0,64234326.0,8.13,8.148,8.566,-0.06,-0.82,31.309,24.5198,27.6191,-100.0,-13.1379,9.2979,0.0,-0.0468,-0.2421,-0.2889,0.1
2020-02-18,8.12,8.1499,8.02,8.06,65063386.0,8.15,8.266,8.6265,-0.05,-0.78,34.2462,27.1533,28.9599,-96.748,-12.0087,31.8469,11.7647,-0.0521,-0.2304,-0.2825,0.1299
2020-02-14,8.27,8.27,8.08,8.1,46328367.0,8.15,8.358,8.6815,-0.15,-0.76,33.0674,28.8763,29.8454,-93.4959,-11.6685,48.2957,16.129,-0.059,-0.2173,-0.2763,0.19
2020-02-13,8.21,8.36,8.21,8.25,67629392.0,8.152,8.43,8.735,-0.06,-0.72,28.1453,36.0187,33.3506,-81.746,-10.2285,48.7165,67.6471,-0.0659,-0.2026,-0.2685,0.15
2020-02-12,8.14,8.33,8.13,8.24,111488172.0,8.152,8.489,8.782,-0.94,-0.65,31.9808,35.1272,32.8688,-82.8125,-11.3025,27.2604,61.1111,-0.0837,-0.1861,-0.2698,0.23
2020-02-11,8.1,8.15,8.08,8.1,80119254.0,8.166,8.551,8.8345,-0.88,-0.9,32.7376,22.5356,26.0038,-93.8931,-12.3377,9.349,17.3913,-0.1014,-0.1652,-0.2666,0.09
2020-02-10,8.15,8.15,8.05,8.06,71766535.0,8.382,8.638,8.8915,-0.76,-1.08,33.5246,18.7822,23.9675,-96.9466,-12.8649,3.5519,3.2787,-0.1046,-0.1398,-0.2444,0.1
2020-02-07,8.21,8.21,8.02,8.11,98215504.0,8.566,8.721,8.951,-0.73,-1.05,36.8374,19.7806,24.7478,-93.2836,-12.419,4.1597,7.377,-0.0947,-0.1137,-0.2084,0.23
