date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC,%D,%K,MACD_SIGNAL,MACD_HIST,MACD,TRANGE,CCI,AD,ATR,ADOSC,BBANDS_LOW,BBANDS_MIDDLE,BBANDS_UP,DIFF,I_29,I_30,I_34
2020-03-20,4.54,4.75,4.25,4.33,129311362.0,4.664,5.236,6.139,-1.02,-2.75,39.2594,14.3734,17.4542,-93.6459,-45.1204,21.1045,20.5357,-0.7758,-0.1528,-0.9286,0.5,-124.0516,-2085808997.115,0.3815,-33501964.64,-0.7758,-0.1528,-0.9286,-0.5670000000000002,-0.04625550660792951,0.16000000000000014,-0.29467339957647826
2020-03-19,4.33,4.58,4.1,4.47,126403658.0,4.924,5.452,6.317,-1.43,-2.5,40.4115,15.747,18.3011,-90.5852,-44.3337,21.5879,20.5556,-0.7376,-0.1595,-0.8971,0.48,-143.2291,-1997877270.955,0.3753,-20753302.2728,-0.7376,-0.1595,-0.8971,-0.5670999999999999,0.032332563510392535,0.7708333333333329,-0.29238562608833313
2020-03-18,4.75,4.84,4.1,4.5,125246528.0,5.1,5.679,6.495,-1.76,-2.7,41.2458,16.0204,18.4773,-89.9244,-43.75,14.9944,22.2222,-0.6977,-0.1604,-0.8581,0.91,-158.0302,-2066345919.0383,0.3698,-53369402.9945,-0.6977,-0.1604,-0.8581,-0.5564999999999998,-0.05263157894736842,0.5405405405405409,-0.3071593533487298
2020-03-17,5.08,5.14,4.7,5.01,104097613.0,5.38,5.937,6.67,-0.89,-1.95,37.0139,21.2462,21.7371,-90.8824,-37.8412,22.1169,21.9858,-0.6576,-0.1413,-0.7989,0.44,-145.8739,-2076501042.9302,0.3413,-67984388.9173,-0.6576,-0.1413,-0.7989,-0.5052000000000003,-0.013779527559055173,0.7045454545454545,-0.24887556221889057
2020-03-16,5.04,5.22,5.0,5.01,110183965.0,5.63,6.133,6.8225,-1.48,-1.96,32.6425,21.2462,21.7371,-99.6825,-38.1481,18.1667,0.7752,-0.6223,-0.1413,-0.7636,0.63,-160.6121,-2119086430.0666,0.3361,-80703838.3866,-0.6223,-0.1413,-0.7636,-0.4947000000000008,-0.0059523809523810015,0.04545454545454454,-0.26566507878343715
2020-03-13,5.87,5.9,5.12,5.63,125290368.0,5.808,6.352,6.977,-1.11,-1.58,35.0044,29.3206,26.5158,-83.8095,-31.7576,20.7573,43.5897,-0.587,-0.1205,-0.7075,0.78,-142.3896,-2018919189.1575,0.3207,-60739671.8974,-0.587,-0.1205,-0.7075,-0.4413,-0.04088586030664399,0.6538461538461534,-0.1930629210262291
2020-03-12,5.38,5.69,5.2,5.35,89299008.0,5.98,6.485,7.108,-1.73,-1.88,30.4472,17.5245,19.1585,-95.2532,-35.0728,18.1137,10.1351,-0.5568,-0.1318,-0.6886,0.7,-174.6886,-2057470071.619,0.2965,-76348525.2092,-0.5568,-0.1318,-0.6886,-0.45619999999999994,-0.005576208178438708,0.3061224489795906,-0.2473269555430501
2020-03-11,6.06,6.11,5.88,5.9,97775848.0,6.258,6.647,7.2525,-1.07,-1.67,30.8913,24.1116,23.3719,-96.0937,-27.1605,15.4156,8.547,-0.5239,-0.1022,-0.6261,0.38,-139.8144,-2022843925.6598,0.2753,-67553141.3438,-0.5239,-0.1022,-0.6261,-0.3865999999999996,-0.02640264026402628,0.08695652173913228,-0.18648741813167874
2020-03-10,6.26,6.29,5.8,6.26,101774354.0,6.494,6.778,7.3625,-0.94,-1.63,38.216,30.33,26.9248,-82.0313,-22.3325,15.7581,35.6589,-0.4984,-0.0948,-0.5931,0.49,-140.5319,-1942072572.9642,0.2698,-57972951.7868,-0.4984,-0.0948,-0.5931,-0.3633000000000006,0.0,0.9387755102040811,-0.14974533106960952
2020-03-09,5.97,6.14,5.87,5.9,103747117.0,6.636,6.875,7.4525,-1.06,-2.13,33.439,11.2576,15.0933,-98.7952,-27.2503,7.3543,2.0408,-0.4747,-0.1045,-0.5791,0.62,-175.9811,-2031384761.1683,0.2582,-84493995.6803,-0.4747,-0.1045,-0.5791,-0.3769,-0.011725293132328207,0.1111111111111122,-0.20831935592083187
2020-03-06,6.6,6.68,6.4,6.49,109864377.0,6.896,7.042,7.563,-0.48,-1.51,37.832,17.9798,19.9446,-95.4082,-21.3333,27.0721,9.5745,-0.4485,-0.0676,-0.5162,0.34,-137.144,-1950692559.0571,0.2391,-61081735.3324,-0.4485,-0.0676,-0.5162,-0.2934000000000001,-0.016666666666666583,0.3214285714285717,-0.1418749173608356
2020-03-05,6.96,6.97,6.71,6.74,78016662.0,6.99,7.182,7.651,-0.47,-1.32,36.4634,22.7838,22.7897,-95.9064,-18.8929,36.5388,10.4478,-0.4316,-0.0567,-0.4883,0.37,-118.7956,-1911455281.5571,0.2338,-53038648.2724,-0.4316,-0.0567,-0.4883,-0.2626999999999997,-0.03160919540229881,0.11538461538461643,-0.11906940269245846
2020-03-04,7.09,7.09,6.92,7.08,70559822.0,7.036,7.311,7.7295,-0.15,-1.02,35.8233,32.6797,27.7194,-77.3481,-22.8758,50.548,61.194,-0.4175,-0.0537,-0.4712,0.17,-104.2576,-1851442464.6341,0.2266,-52109285.0094,-0.4175,-0.0537,-0.4712,-0.24730000000000008,-0.0014104372355429884,0.9411764705882365,-0.08402872113332037
2020-03-03,7.29,7.34,6.89,6.97,97397798.0,7.062,7.403,7.8345,-0.6,-1.28,30.8829,23.7509,22.7647,-88.3268,-22.3831,39.359,37.9747,-0.404,-0.073,-0.4771,0.45,-113.7863,-1913701131.1047,0.2296,-84934302.4159,-0.404,-0.073,-0.4771,-0.27800000000000047,-0.04389574759945134,0.17777777777777787,-0.11034526772608341
2020-03-02,7.11,7.23,6.88,7.2,96728883.0,7.114,7.512,7.935,-0.69,-1.04,31.9897,30.8895,26.208,-79.3774,-18.3673,28.2022,52.4752,-0.3858,-0.0807,-0.4664,0.35,-127.708,-1850933661.2824,0.218,-97875537.1732,-0.3858,-0.0807,-0.4664,-0.28469999999999995,0.012658227848101245,0.9142857142857137,-0.09262759924385626
2020-02-28,6.84,6.96,6.67,6.96,116484975.0,7.188,7.602,8.016,-1.07,-1.14,23.6497,6.4356,13.7258,-88.716,-21.267,10.7105,27.6269,-0.3656,-0.1039,-0.4695,0.3,-190.1005,-1931080450.0539,0.2111,-156578690.4033,-0.3656,-0.1039,-0.4695,-0.32509999999999994,0.017543859649122823,1.0,-0.1317365269461078
2020-02-27,7.13,7.28,6.92,6.97,118585243.0,7.374,7.731,8.11,-1.03,-1.09,13.1682,6.5156,13.815,-97.8448,-21.3318,1.8803,4.5045,-0.3396,-0.1025,-0.4421,0.36,-189.7001,-2047565425.0539,0.2064,-202943631.3873,-0.3396,-0.1025,-0.4421,-0.3160999999999996,-0.02244039270687239,0.13888888888888828,-0.14056720098643646
2020-02-26,7.3,7.46,7.21,7.21,92461064.0,7.586,7.858,8.2045,-0.85,-0.9,13.384,8.6733,16.1214,-100.0,-19.621,1.4901,0.0,-0.314,-0.0878,-0.4018,0.25,-168.124,-1961920527.3316,0.1983,-180582144.0398,-0.314,-0.0878,-0.4018,-0.28029999999999955,-0.012328767123287652,0.0,-0.12121396794442069
2020-02-25,7.68,7.68,7.22,7.23,108818217.0,7.744,7.947,8.2925,-0.87,-1.02,13.9128,8.8775,16.3296,-99.505,-18.6727,1.4901,1.1364,-0.2921,-0.0768,-0.3689,0.46,-166.7636,-1869459463.3316,0.1956,-152404063.41,-0.2921,-0.0768,-0.3689,-0.2530000000000001,-0.05859374999999991,0.02173913043478408,-0.12812782634911063
