,date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC,%D,%K,MACD_SIGNAL,MACD_HIST,MACD,TRANGE,CCI,AD,ATR,ADOSC,BBANDS_LOW,BBANDS_MIDDLE,BBANDS_UP,DIFF,I_29,I_34
22,2020-02-21,151.04,151.04,148.84,149.84,3536740.0,150.744,152.466,148.5025,-5.47,0.73,54.4413,42.9659,54.9861,-37.4685,4.8786,23.3651,17.4825,3.3354,3.8819,-0.5464,2.38,18.2806,472958787.941,2.6541,2974134.4309,3.3354,3.8819,-0.5464,0.4866999999999848,-0.007944915254237213,0.009006582380768041
23,2020-02-20,150.81,151.62,149.51,151.22,2880483.0,151.638,153.158,148.154,-2.26,4.95,55.1391,51.0861,59.0832,-31.6653,5.0942,25.7031,32.1429,3.6868,4.0185,-0.3317,2.11,31.4672,473280309.7592,2.6686,3439146.9967,3.6868,4.0185,-0.3317,0.8624000000000079,0.0027186526092433964,0.020694682560038896
24,2020-02-19,151.54,151.89,150.31,150.86,2732905.0,152.45600000000002,153.66899999999998,147.7875,-3.57,7.13,57.5109,48.9904,58.3409,-33.1791,8.3998,20.3061,20.4698,3.9411,4.1014,-0.1603,1.58,37.4355,471491953.0151,2.698,3561516.9666,3.9411,4.1014,-0.1603,1.1203000000000145,-0.0044872640886893115,0.020789985621246853
25,2020-02-18,149.79,151.38,149.64,151.1,3343038.0,152.98,153.494,147.203,-2.31,14.33,53.5648,50.185,58.9949,-32.1699,9.2473,36.1197,24.4966,4.245,4.1415,0.1035,1.74,38.9718,472322202.6354,2.7568,4460139.4791,4.245,4.1415,0.1035,1.5440000000000111,0.008745577141331213,0.0264736452382084
26,2020-02-14,154.42,154.56,149.77,150.7,6095081.0,153.64600000000002,153.011,146.5635,-6.06,13.01,50.8168,48.4388,58.2804,-33.852,9.2187,45.2949,15.952,4.5467,4.1156,0.4311,4.79,54.5085,470055084.9112,2.8103,5019880.4762,4.5467,4.1156,0.4311,2.0803999999999974,-0.02409014376376117,0.028223261589686268
27,2020-02-13,154.37,154.83,153.41,154.31,3819757.0,154.188,152.314,145.9275,-2.02,14.76,62.8212,65.7805,68.0974,-18.6712,12.9483,52.8846,67.9104,4.9063,4.0078,0.8985,1.9,87.318,473783391.2432,2.7061,7035921.0378,4.9063,4.0078,0.8985,2.9038000000000177,-0.0003886765563257257,0.05744290829350186
28,2020-02-12,153.75,155.6,153.52,155.31,4437792.0,154.678,150.56,145.043,6.2,16.69,64.3661,71.7065,71.1402,-14.4659,14.3499,51.4497,52.0223,4.9265,3.7832,1.1433,2.12,105.22200000000001,472761202.7502,2.7486,7500688.3661,4.9265,3.7832,1.1433,3.2674000000000087,0.010146341463414648,0.07078590486959037
29,2020-02-11,155.12,155.22,152.7304,153.48,3833574.0,154.882,148.798,144.0685,7.21,12.92,63.1239,67.2003,68.8017,-22.1615,12.3572,55.4557,38.7209,4.7787,3.4974,1.2813,2.4896,110.2443,469560871.981,2.7816,7765002.1374,4.7787,3.4974,1.2813,3.4132000000000176,-0.01057246003094388,0.06532656340560213
30,2020-02-10,152.97,154.44,151.58,154.43,5237553.0,154.00799999999998,147.405,143.2245,10.7,11.56,69.6269,72.173,71.561,-18.1665,12.9783,72.1887,63.6057,4.7069,3.177,1.5299,2.86,123.9324,471085924.8769,2.7969999999999997,9174692.5906,4.7069,3.177,1.5299,3.805500000000024,0.009544355102307694,0.0782373127502627
31,2020-02-07,154.55,155.54,152.92,153.41,6414553.0,152.376,145.82399999999998,142.3375,16.64,9.52,67.165,70.2,70.3923,-22.4558,12.190999999999999,82.6734,64.0404,4.4501,2.7946,1.6556,3.84,150.1389,465884998.1216,2.7937,9395629.7591,4.4501,2.7946,1.6556,3.970400000000012,-0.0073762536395989295,0.07779046280846573
32,2020-02-06,156.82,158.75,155.42,156.76,8394374.0,150.44,144.539,141.504,19.07,17.59,70.7679,87.1029,80.3308,-8.3684,15.8525,94.0354,88.9198,4.1614,2.3807,1.7808,3.33,222.5343,469900214.5033,2.7386,11892945.9232,4.1614,2.3807,1.7808,4.177099999999996,-0.00038260425966077214,0.10781320669380373
33,2020-02-05,150.21,157.44,150.15,156.33,14379714.0,146.442,143.15,140.4315,16.78,18.02,72.9666,86.7619,79.9986,-4.7194,16.499000000000002,94.9939,95.0601,3.3914,1.9355,1.4559,8.33,246.7676,471538755.9748,2.7075,12231673.6,3.3914,1.9355,1.4559,3.4843999999999937,0.04074295985620135,0.11321177940846612
34,2020-02-04,147.78,149.38,146.88,149.11,5619700.0,142.714,141.906,139.3245,10.49,11.13,65.6786,78.9905,72.9707,-1.6896,11.1931,95.4658,98.1263,2.403,1.5715,0.8315,3.11,198.5644,461538049.5303,2.4116,9067103.7545,2.403,1.5715,0.8315,2.1787999999999954,0.008999864663689352,0.0702353139612919
35,2020-02-03,144.25,147.28,143.9,146.27,8886414.0,140.80200000000002,140.912,138.57399999999998,5.71,9.65,57.016000000000005,73.9843,69.0495,-7.1733,8.8805,69.4609,91.7953,1.8415,1.3636,0.4779,3.55,182.2105,457132204.7303,2.3748,7094903.8656,1.8415,1.3636,0.4779,1.4352999999999838,0.014003466204506135,0.05553711374428101
36,2020-01-31,142.9,144.05,140.79,143.73,18987138.0,139.27200000000002,140.116,137.9775,0.86,7.91,54.1262,68.3663,64.8715,-16.3622,6.1365,39.3272,96.4758,1.3874,1.2442,0.1432,7.28,137.8484,453556606.1978,2.313,4124093.6781,1.3874,1.2442,0.1432,0.7206000000000188,0.005808257522743066,0.04169158014893731
37,2020-01-30,136.76,136.97,134.97,136.77,5007038.0,138.638,139.541,137.562,-7.12,0.17,45.6456,37.593,46.8497,-71.6442,2.0367,13.4538,20.1117,1.0461,1.2084,-0.1623,2.72,-40.0817,438297004.4923,2.0516,-1273330.961,1.0461,1.2084,-0.1623,0.03960000000000719,7.312079555439695e-05,-0.005757403934226033
38,2020-01-29,139.17,139.58,137.595,137.69,3053189.0,139.858,139.526,137.4255,-1.48,1.0,46.2018,42.1049,49.955,-60.4929,3.6744,10.9013,1.3940000000000001,1.3039,1.2489,0.055,1.985,25.424,434291374.0923,2.0164,-2315494.0943,1.3039,1.2489,0.055,0.4286999999999921,-0.010634475820938348,0.00192467918981556
