date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC,%D,%K,MACD_SIGNAL,MACD_HIST,MACD,TRANGE
2020-03-19,142.77,150.15,139.0,142.71,85922661.0,144.786,148.973,158.588,-10.92,-21.8,43.0649,42.5476,41.7465,-84.1031,-22.6169,30.571,28.6511,-8.0351,-2.1936,-5.8415,11.15
2020-03-18,138.0,146.0,135.02,140.4,81593173.0,144.056,151.329,160.6735,-20.52,-32.39,47.8453,40.1834,40.3609,-89.6651,-25.032,21.5409,20.0669,-7.8498,-2.5567,-5.2931,11.55
2020-03-17,140.0,147.4998,135.0,146.57,81059817.0,146.702,154.344,163.0175,-4.05,-15.44,44.4825,44.2351,42.8568,-78.2437,-21.7166,43.7847,42.9952,-7.2639,-2.61,-4.6539,12.4998
2020-03-16,140.0,149.35,135.0,135.42,87905868.0,149.572,156.138,165.0505,-26.15,-22.76,40.2627,34.2517,36.3351,-99.2102,-26.9382,30.1052,1.5608,-7.0387,-3.0373,-4.0014,23.83
2020-03-13,147.5,161.91,140.73,158.83,92727446.0,152.612,159.875,167.547,-7.44,-11.34,47.3178,49.8735,46.5627,-59.1734,-13.5431,35.3828,86.7981,-5.5135,-2.2714,-3.2421,22.85
2020-03-12,145.3,153.47,138.58,139.06,93226366.0,153.16,160.193,168.791,-31.49,-29.01,40.2145,26.1786,31.6742,-99.0323,-24.7144,23.8914,1.9568,-5.8702,-3.196,-2.6742,15.05
2020-03-11,157.1304,157.7,151.15,153.63,56504304.0,158.602,162.105,171.0735,-10.88,-17.26,43.7847,36.8873,39.0183,-90.4924,-16.7046,24.0658,17.3934,-4.2272,-2.352,-1.8752,9.77
2020-03-10,158.16,161.03,152.58,160.92,65354385.0,161.986,163.759,172.614,-11.87,-17.67,51.2597,44.4725,43.6615,-73.1695,-14.7218,28.0399,52.3239,-3.5521,-2.2649,-1.2872,10.41
2020-03-09,151.0,157.75,150.0,150.62,70419274.0,162.704,164.474,174.003,-11.39,-33.8,48.8583,26.7338,33.3964,-98.4767,-18.0923,31.2798,2.48,-3.381,-2.66,-0.721,11.57
2020-03-06,162.61,163.11,156.0,161.57,72821057.0,167.138,166.501,175.6665,3.39,-25.71,50.0517,37.2865,40.6065,-75.2713,-12.0133,57.3371,29.3158,-2.0648,-2.0087,-0.056,10.27
2020-03-05,166.045,170.87,165.69,166.27,47817251.0,167.226,168.203,176.7695,-3.9,-20.96,49.3886,43.4164,44.376,-63.1266,-7.5764,65.6957,62.0435,-1.4696,-1.9158,0.4462,5.18
2020-03-04,168.485,170.7,165.62,170.55,49814383.0,165.608,170.018,177.451,2.48,-14.8,48.7828,49.6051,48.1036,-52.0672,-5.3131,75.356,80.6522,-1.1671,-2.0922,0.9251,6.19
2020-03-03,173.8,175.0,162.26,164.51,71677019.0,165.532,171.691,177.9295,-6.38,-19.2,45.8897,39.456,41.7769,-67.6744,-5.6601,63.0808,54.3913,-1.1999,-2.648,1.4482,12.74
2020-03-02,165.31,172.92,162.31,172.79,71030810.0,166.244,173.963,178.423,-5.8,-11.92,47.8525,51.246,49.3347,-46.2791,1.5038,45.2116,91.0245,-0.6092,-2.7194,2.1102,10.91
2020-02-28,152.41,163.71,152.0,162.01,97073557.0,165.864,175.219,178.295,-22.41,-22.43,41.7866,27.8579,35.3838,-74.1344,-6.2334,24.501,43.8266,-0.6896,-3.4796,2.79,11.71
2020-02-27,163.32,167.03,157.98,158.18,93174906.0,169.18,177.389,178.8335,-29.1,-30.52,34.2089,15.9152,29.0183,-99.3888,-5.8677,16.3584,0.7837,0.3155,-3.3444,3.6599,12.19
2020-02-26,169.71,173.26,168.21,170.17,56387148.0,174.428,180.042,179.3265,-17.06,-13.72,43.2831,28.0132,40.4547,-74.7361,2.8466,26.3309,28.8926,1.9838,-2.5122,4.496,5.19
2020-02-25,174.2,174.84,167.6462,168.07,68073295.0,177.85,181.469,179.091,-17.28,-15.56,45.0984,19.0297,36.4325,-81.9126,3.5679,20.7867,19.3988,2.8634,-2.2606,5.1241,7.1938
