date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2020-03-12,6.58,6.59,6.16,6.22,9319083.0,7.106,7.556,8.1545,-1.9,-2.13,29.8945,15.8817,21.4802,-98.0,-32.4647
2020-03-11,7.37,7.4,7.02,7.12,7960750.0,7.43,7.749,8.304,-0.83,-1.47,35.4997,26.4947,29.5868,-95.4955,-20.8009
2020-03-10,7.51,7.52,7.21,7.47,20980385.0,7.63,7.884,8.3975,-0.61,-1.44,39.8213,33.8186,34.1861,-82.1003,-14.1379
2020-03-09,7.16,7.42,7.0841,7.11,10841934.0,7.726,7.972,8.459,-0.93,-1.82,35.9953,13.2685,22.8834,-98.7986,-18.9282
2020-03-06,7.61,7.72,7.51,7.61,10537672.0,7.92,8.12,8.542,-0.54,-1.37,39.5516,20.7122,29.2869,-94.2197,-8.5337
2020-03-05,7.87,7.95,7.79,7.84,5837386.0,8.006,8.25,8.5775,-0.63,-1.15,39.3428,26.3868,33.2049,-95.2381,-4.0392
2020-03-04,8.03,8.13,7.95,8.12,4128997.0,8.068,8.359,8.594,-0.23,-0.96,39.6344,36.5438,39.032,-76.1905,0.2469
2020-03-03,8.16,8.27,7.875,7.95,8865763.0,8.138,8.445,8.593,-0.64,-1.13,36.2607,21.1964,32.4328,-87.7551,0.7605
2020-03-02,8.06,8.12,7.91,8.08,10196795.0,8.218,8.549,8.59,-0.83,-1.13,39.4659,25.0585,35.0957,-78.9116,2.799
2020-02-28,7.89,8.05,7.77,8.04,11808785.0,8.32,8.649,8.579,-0.89,-0.95,37.0364,21.3857,33.557,-81.6327,0.6258
2020-02-27,8.26,8.37,8.1142,8.15,10160874.0,8.494,8.753,8.5765,-0.83,-0.55,33.147,24.0915,35.6899,-76.7606,0.3695
2020-02-26,8.41,8.82,8.33,8.47,18943144.0,8.65,8.859,8.575,-0.52,-0.3,37.7458,34.7504,42.9733,-54.2254,1.8029
2020-02-25,8.62,8.62,8.3,8.35,8402686.0,8.752,8.911,8.5675,-0.73,0.03,40.4045,24.2815,38.671,-62.6761,1.2121
2020-02-24,8.51,8.67,8.48,8.59,7035671.0,8.88,8.946,8.5625,-0.49,0.42,44.3889,33.1446,44.8783,-45.7746,3.1212
2020-02-21,8.95,8.965,8.87,8.91,5269462.0,8.978,8.964,8.5495,-0.3,0.81,55.5697,55.7589,55.8318,-23.2394,-0.7795
2020-02-20,8.98,8.99,8.855,8.93,4895630.0,9.012,8.905,8.553,-0.06,1.04,56.4469,57.8134,56.6235,-21.831,-0.3348
2020-02-19,9.0,9.04,8.955,8.98,5340141.0,9.068,8.829,8.5545,0.28,1.12,56.4485,62.6202,58.5256,-18.3099,1.0124
2020-02-18,8.99,9.0156,8.93,8.99,4845858.0,9.07,8.741,8.55,0.22,1.0,60.491,63.5001,58.8882,-17.6056,-0.222
