date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2020-03-12,1122.62,1188.75,1108.47,1111.55,4716293.0,1221.83,1286.88,1372.864,-270.05,-274.77,38.2877,21.3283,25.9101,-99.2706,-26.8057
2020-03-11,1248.27,1256.93,1191.14,1210.9,2741694.0,1262.472,1307.22,1393.218,-126.82,-208.96,40.9953,29.815,31.9346,-94.1814,-19.8111
2020-03-10,1254.39,1275.85,1214.51,1275.17,2743566.0,1296.612,1325.177,1408.176,-111.15,-208.29,47.8127,37.9571,37.042,-76.817,-15.4766
2020-03-09,1204.96,1252.73,1198.04,1215.79,3462578.0,1309.122,1336.292,1419.8505,-123.46,-301.2,46.7286,21.4392,27.1782,-94.6649,-17.8026
2020-03-06,1269.95,1302.75,1257.21,1295.74,3232315.0,1343.228,1356.699,1433.0165,-19.21,-229.13,47.2408,30.5714,33.6934,-85.9138,-12.211
2020-03-05,1345.55,1353.63,1301.64,1314.76,2718982.0,1351.93,1375.471,1442.028,-75.71,-204.68,44.8521,33.3911,35.5519,-82.2687,-9.0792
2020-03-04,1358.96,1382.78,1337.0,1381.6,2379856.0,1351.968,1395.694,1448.5925,-4.72,-137.13,46.3939,45.7482,43.2342,-56.8087,-4.4147
2020-03-03,1397.68,1408.19,1329.24,1337.72,2830112.0,1353.742,1410.021,1451.783,-82.14,-175.67,39.3901,31.9763,34.7491,-73.523,-9.772
2020-03-02,1351.39,1387.47,1325.2,1386.32,2771463.0,1363.462,1428.193,1459.027,-97.14,-132.31,42.2082,41.7607,40.966,-55.0109,-3.2426
2020-02-28,1274.31,1342.45,1268.21,1339.25,4010900.0,1370.17,1441.434,1461.35,-177.74,-170.81,36.0844,22.6608,29.8186,-72.9402,-7.9079
2020-02-27,1359.14,1369.4,1314.24,1314.95,3114476.0,1399.012,1458.848,1467.1,-209.92,-193.71,25.4074,9.9565,22.9318,-99.6721,-9.7309
2020-02-26,1394.98,1413.67,1376.55,1390.47,2490178.0,1439.42,1479.216,1474.1875,-128.97,-88.64,32.7677,17.3286,31.83,-90.9722,-4.1386
2020-02-25,1431.0,1436.85,1380.42,1386.32,2578966.0,1466.3,1491.175,1477.189,-132.41,-89.65,34.2719,14.4271,30.4709,-96.075,-3.1717
2020-02-24,1423.05,1436.38,1406.79,1419.86,2478039.0,1492.924,1503.409,1479.4595,-93.53,-26.19,39.1531,18.8928,35.7512,-89.4554,-3.1586
2020-02-21,1504.58,1510.94,1478.49,1483.46,2126843.0,1512.698,1509.334,1481.775,-35.17,38.05,50.5635,36.9821,51.1616,-42.5027,-0.0828
2020-02-20,1519.01,1527.07,1504.26,1516.99,1298386.0,1518.684,1508.585,1481.8365,6.93,34.39,53.5432,63.8336,64.6235,-12.3607,2.2113
2020-02-19,1527.2,1530.74,1520.98,1524.87,1137338.0,1519.012,1501.491,1480.1955,16.21,92.09,60.4339,74.4151,68.5067,-5.2769,2.8754
2020-02-18,1514.34,1530.56,1511.01,1519.44,1284011.0,1516.05,1493.545,1478.0645,40.33,65.19,61.7653,71.7235,67.2642,-10.0126,2.6982
2020-02-14,1514.53,1520.05,1505.55,1518.73,1159857.0,1513.894,1489.861,1476.0685,42.76,62.03,66.3596,71.3956,67.1086,-10.1015,4.7284
2020-02-13,1510.0,1525.95,1504.0,1513.39,1145658.0,1505.97,1481.266,1472.64,67.34,62.89,61.7904,69.1536,65.9947,-14.9393,5.1549
2020-02-12,1515.86,1520.3,1508.67,1518.63,1552136.0,1498.486,1475.352,1468.9305,73.22,86.9,58.2762,73.8893,68.0683,-10.1921,6.1541
2020-02-11,1513.27,1529.88,1505.45,1510.06,1742647.0,1483.97,1469.159,1464.5285,27.46,43.89,61.2882,71.2015,66.4897,-17.9562,4.8631
2020-02-10,1477.23,1508.88,1475.2,1508.66,1915072.0,1471.04,1463.203,1461.027,75.88,23.97,59.3728,70.7921,66.2398,-0.2461,5.5775
2020-02-07,1467.38,1485.24,1465.41,1479.11,1418049.0,1465.828,1455.51,1457.042,24.86,-5.06,56.5711,61.0564,60.5467,-26.48,4.1781
2020-02-06,1451.98,1481.56,1450.48,1475.97,1891079.0,1456.562,1454.216,1454.076,19.27,-6.28,56.6784,59.872,59.8879,-27.2325,5.0483
2020-02-05,1463.61,1464.58,1429.67,1446.05,1818793.0,1452.218,1455.088,1450.5295,-4.45,-33.47,55.4732,47.0955,53.0375,-50.5141,3.6513
2020-02-04,1454.49,1467.34,1422.03,1445.41,4793967.0,1454.348,1458.9,1447.9825,13.68,-4.75,53.5043,46.7935,52.8797,-50.6054,3.4053
2020-02-03,1461.65,1486.3,1456.61,1482.6,3608760.0,1455.366,1462.584,1445.6025,16.43,43.4,52.7866,64.6678,64.4066,-12.0203,8.893
2020-01-31,1467.86,1469.67,1427.06,1432.78,2191075.0,1445.192,1462.276,1439.5485,-51.91,2.19,43.6335,38.4004,51.3965,-44.2385,4.6833
2020-01-30,1438.1,1455.25,1435.0,1454.25,1355472.0,1451.87,1464.014,1436.3435,-29.92,14.22,47.6254,52.3872,60.0703,-30.0668,8.5755
2020-01-29,1458.46,1464.14,1445.38,1456.7,1081964.0,1457.958,1462.509,1430.6005,-25.55,27.74,44.6951,54.2668,61.1498,-26.0493,8.7325
2020-01-28,1441.74,1454.8,1430.36,1450.5,1486586.0,1463.452,1459.898,1424.751,-29.02,30.71,48.9078,50.5232,59.4598,-29.7299,7.0764
2020-01-27,1431.54,1436.58,1419.5,1431.73,1706566.0,1469.802,1458.851,1419.958,-18.43,26.69,46.7317,37.6464,53.894,-40.8727,5.0834
2020-01-24,1492.82,1494.2,1463.18,1466.17,1489280.0,1479.36,1458.574,1416.495,26.97,71.06,55.7539,62.5301,70.0757,-20.4274,9.0551
2020-01-23,1487.55,1493.5,1480.32,1484.69,1332562.0,1476.158,1453.936,1410.408,54.1,86.88,61.6751,88.8466,82.2488,-9.4331,9.9257
2020-01-22,1489.73,1500.58,1482.66,1484.17,1422946.0,1467.06,1445.971,1403.705,44.14,122.65,67.1305,88.7357,82.1691,-9.7418,9.8393
2020-01-21,1479.0,1489.88,1470.21,1482.25,2387178.0,1456.344,1437.065,1397.0575,53.29,113.57,73.2273,88.3801,81.8939,-4.8368,9.275
2020-01-17,1462.54,1480.55,1456.55,1479.52,2621175.0,1447.9,1428.621,1390.767,59.73,140.13,71.9388,87.9286,81.5221,-0.694,9.4392
2020-01-16,1445.45,1450.7,1440.0,1450.16,1304040.0,1437.788,1416.821,1384.3865,45.12,110.45,65.5341,81.4787,76.833,-0.4554,7.0316
2020-01-15,1433.02,1440.78,1431.66,1439.2,1077519.0,1431.714,1408.673,1379.623,44.09,84.56,61.8245,77.7865,74.63,-3.1041,5.7691
2020-01-14,1440.0,1442.63,1427.77,1430.59,1305636.0,1424.882,1398.692,1375.698,32.78,68.12,67.4432,74.4524,72.7649,-10.8959,6.2159
2020-01-13,1435.25,1441.48,1425.37,1440.03,1525568.0,1417.786,1389.604,1371.512,78.51,95.6,68.9957,86.2851,78.57,-1.326,6.7883
2020-01-10,1429.47,1434.94,1419.6,1428.96,1313178.0,1409.342,1381.065,1366.935,60.28,78.33,69.0218,83.7634,76.5598,-5.8166,6.3017
2020-01-09,1421.93,1428.68,1410.21,1419.79,1661438.0,1395.854,1374.416,1362.6995,80.4,68.57,70.1772,81.403,74.7622,-9.2077,5.7265
2020-01-08,1394.82,1411.85,1392.63,1405.04,1766274.0,1385.632,1366.88,1358.8545,65.33,48.6,66.269,76.9021,71.5446,-8.5424,4.6203
2020-01-07,1400.46,1403.5,1391.56,1395.11,1726456.0,1372.502,1361.439,1355.752,40.47,43.2,63.164,73.2731,69.1147,-11.7556,4.1601
2020-01-06,1351.63,1398.32,1351.0,1397.81,2339343.0,1361.422,1357.05,1352.966,35.34,42.92,67.6802,75.9779,70.6177,-0.7602,5.3393
