date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2020-02-21,183.17,183.5,177.25,178.59,48600385.0,184.574,184.832,178.509,-6.12,-1.53,53.2785,35.0722,51.4053,-39.7049,7.1197
2020-02-20,186.95,187.25,181.1,184.42,36862376.0,185.598,185.336,177.9155,-0.02,10.04,53.442,55.6272,64.5639,-20.5902,11.2975
2020-02-19,188.06,188.18,186.47,187.28,29997471.0,185.656,184.884,176.9795,-1.42,17.05,59.4591,73.1544,72.9627,-11.2131,12.4805
2020-02-18,185.605,187.7,185.5,187.23,27853113.0,185.088,184.168,175.9405,3.34,14.45,59.483,73.0306,72.9062,-11.377,12.0467
2020-02-14,183.25,185.41,182.65,185.35,23149516.0,185.382,182.883,174.934,1.72,17.31,61.3403,68.4755,70.804,-17.541,11.5424
2020-02-13,183.08,186.23,182.872,183.71,35295834.0,185.09,181.371,173.975,3.81,18.25,55.2216,64.0631,68.8728,-22.918,12.5812
2020-02-12,185.58,185.85,181.85,184.71,47062921.0,185.074,180.278,172.9485,4.59,22.43,60.6798,68.9682,71.517,-19.6393,13.9271
2020-02-11,190.65,190.7,183.5,184.44,53159906.0,184.112,178.611,171.8195,10.06,19.4,62.6125,68.4242,71.2437,-20.5246,12.9593
2020-02-10,183.58,188.84,183.25,188.7,35844267.0,183.248,176.713,170.7615,18.47,21.98,68.4582,88.9184,82.7209,-0.4888,16.958
2020-02-07,182.845,185.63,182.48,183.89,33529074.0,180.384,174.071,169.3935,11.11,18.19,64.7369,84.5698,79.2633,-6.8423,13.4493
2020-02-06,180.97,183.8199,180.059,183.63,27751381.0,177.652,172.186,168.3035,15.59,17.13,67.2178,84.2922,79.0556,-2.375,14.7042
2020-02-05,184.03,184.2,178.4101,179.9,39186324.0,175.482,170.495,167.1265,14.44,12.8,66.5406,79.9869,75.879,-16.3804,14.1642
2020-02-04,177.14,180.64,176.31,180.12,36433339.0,173.11,169.075,166.0105,17.84,13.95,70.46,81.0792,76.5064,-2.2298,13.2616
2020-02-03,170.43,174.5,170.4,174.38,30149052.0,170.178,167.713,164.956,9.34,11.2,62.7045,73.0892,70.7157,-0.667,9.9357
2020-01-31,172.21,172.4,169.58,170.23,36142690.0,167.758,166.985,164.168,3.51,8.1,59.688,63.906,64.9979,-21.7788,5.9831
2020-01-30,174.05,174.05,170.79,172.78,51597470.0,166.72,166.579,163.6875,7.08,9.5,60.7473,77.4369,73.0293,-7.2406,9.5625
2020-01-29,167.84,168.75,165.69,168.04,35127771.0,165.508,165.619,162.9335,1.54,6.7,54.0173,66.4252,65.8364,-5.7724,6.6311
2020-01-28,163.78,165.755,163.073,165.46,24899940.0,165.04,165.028,162.411,-1.64,3.37,52.868,56.8797,60.5926,-23.2538,4.0891
2020-01-27,161.15,163.375,160.2,162.28,32078067.0,165.248,164.81,162.086,-3.89,2.19,50.7473,39.094,52.3248,-50.3407,2.2752
2020-01-24,167.51,167.53,164.45,165.04,24918117.0,166.212,164.716,161.9055,1.86,7.46,54.2277,55.7152,62.8088,-26.8313,4.8672
2020-01-23,166.19,166.8,165.27,166.72,19680766.0,166.438,164.421,161.5225,4.59,7.69,56.8234,71.0346,70.7145,-12.5213,5.9145
2020-01-22,167.4,167.49,165.68,165.7,24138777.0,165.73,163.758,161.057,2.42,7.08,58.4625,66.3539,68.5084,-21.2095,5.2665
2020-01-21,166.68,168.19,166.43,166.5,29223486.0,165.016,162.946,160.6425,5.16,5.88,60.0644,74.1897,72.4311,-14.2017,6.9295
2020-01-17,167.42,167.4675,165.43,167.1,34371659.0,164.372,162.199,160.103,5.01,9.4,67.1974,80.1018,75.3993,-2.6791,8.2464
2020-01-16,164.35,166.24,164.03,166.17,23865360.0,163.22,161.351,159.4665,6.08,8.58,66.9321,77.8186,73.8784,-0.5604,7.4213
2020-01-15,162.62,163.94,162.57,163.18,21417871.0,162.404,160.796,158.8925,5.6,4.22,57.774,67.9729,68.0585,-7.4583,4.9187
2020-01-14,163.39,163.6,161.72,162.13,23500783.0,161.786,160.248,158.51,3.1,3.46,61.4544,63.1917,65.5907,-14.9239,4.9181
